64,490770.91,2490903.00,9207,9087,.12,490792.80,2490857.50,490669.11,2490840.38
65,505306.59,2513445.29,18510,18684,.67,505206.57,2513383.42,505327.19,2513504.12
66,512181.06,2494353.44,23767,23261,.85,512663.29,2494432.44,512100.70,2494336.11
67,527295.39,2514955.93,28432,28365,.13,527315.71,2514932.41,527125.17,2515000.86
68,524376.89,2505711.91,27229,27354,.08,524375.91,2505640.88,524572.74,2505687.53
69,509737.82,2493942.75,21361,21422,.55,509672.96,2493974.68,509788.47,2493975.64
70,511097.75,2494997.08,22460,22475,.22,511303.28,2495083.76,511328.66,2494774.42
71,512725.30,2495491.07,23685,23794,.76,512583.48,2495533.15,512689.05,2495601.14
72,502846.41,2504800.63,16056,16208,.28,502675.04,2504711.89,502851.76,2505181.53
73,504529.96,2491420.95,17840,17747,.14,504524.99,2491389.91,504464.99,2491421.04
74,512901.36,2495738.21,23981,24085,.17,512878.15,2495726.22,513002.79,2495801.35
75,512667.02,2494453.30,23885,23767,.95,512820.75,2494461.12,512663.29,2494432.44
76,511955.79,2494547.43,23114,23126,.69,511998.88,2494596.36,512006.97,2494535.48
77,511233.74,2494529.16,22441,22436,1.00,511271.66,2494429.30,511261.56,2494430.72
78,494978.70,2494333.47,12791,12793,.35,494752.50,2494296.39,494753.25,2494411.11
79,538171.54,2516682.76,30829,30845,.19,538151.19,2516683.82,538223.76,2516728.21
80,482742.23,2519733.30,3206,3301,.45,482645.99,2519859.60,482760.53,2519894.68
81,491402.18,2494226.94,9902,9954,.81,491610.55,2494491.91,491639.71,2494190.23
82,505450.65,2493358.72,18802,18689,.32,505506.00,2493323.37,505340.99,2493319.19
83,510639.77,2495497.01,22022,22024,.42,510703.69,2495562.18,510705.66,2495411.37
84,500322.55,2509276.22,14728,14709,.21,500338.65,2509273.93,500283.60,2509311.53
85,512265.30,2493869.17,23403,23425,.32,512252.57,2493873.54,512281.04,2493848.13
86,510159.74,2495910.24,21633,21635,.41,510207.49,2495982.20,510208.65,2495811.23
87,511602.60,2494027.05,22773,22768,.35,511687.12,2494077.38,511685.38,2493933.21
88,507519.70,2492575.97,20459,20493,.11,507495.06,2492672.04,507711.05,2492673.72
89,482979.94,2510653.15,3388,3529,.27,482840.44,2510738.06,483016.64,2510854.90
90,505098.34,2496729.51,18360,18358,.73,505014.20,2496713.15,505013.99,2496734.41
91,502973.59,2493407.12,16236,16224,.53,502890.41,2493327.72,502869.64,2493445.15
92,500898.64,2515862.63,14974,14912,1.00,501057.17,2515232.33,500895.67,2515255.63
93,513468.32,2495383.50,24335,24373,.30,513348.76,2495288.13,513401.58,2495238.65
94,505723.04,2493598.61,19021,18797,.10,505749.84,2493558.21,505502.21,2493554.80
95,506526.57,2492604.35,19814,19842,.75,506495.50,2492473.91,506519.27,2492646.19
96,505125.31,2491355.19,18568,18543,.70,505258.49,2491516.38,505244.41,2491278.99
97,507752.19,2493568.37,20492,20519,.37,507710.95,2493584.15,507815.23,2493600.28
98,522612.70,2514451.08,26534,26535,.71,522734.54,2514513.68,522736.21,2514429.55
99,513084.45,2503321.46,24164,24111,.06,513123.38,2503219.93,513045.11,2503194.51
100,483047.07,2518677.44,3537,3830,.23,483026.00,2518749.11,483219.84,2518705.00
101,511767.04,2501824.73,22860,22816,.67,511776.28,2501620.21,511713.43,2501910.63
102,510806.76,2496458.87,22122,22004,.13,510838.12,2496450.83,510696.50,2496362.52
103,512349.54,2500356.73,23316,23270,.30,512145.18,2500183.24,512108.98,2500232.34
104,502918.77,2505922.01,16250,16259,.72,502908.40,2505931.60,502923.59,2505919.38
105,488103.36,2495755.81,6943,6880,.04,488111.86,2495754.41,488033.33,2495682.01
106,531626.92,2500342.58,29664,29686,.54,531553.72,2500387.51,531632.08,2500426.50
107,503185.83,2503524.25,16526,16548,.89,503311.87,2503614.14,503324.71,2503568.93
108,512900.97,2494686.01,24025,23896,.28,512947.75,2494668.46,512824.73,2494619.92
109,526099.73,2514177.76,28005,27984,.35,526140.24,2514176.47,526080.95,2514121.03
110,491860.74,2488210.07,10162,10361,.46,491791.88,2488312.89,491989.95,2488247.66
111,509905.83,2495905.54,21475,21503,.27,509884.04,2495979.26,509965.98,2495978.66
112,506941.46,2503182.91,20030,19999,.05,506829.99,2503144.72,506773.12,2503454.78
113,504443.30,2494157.11,17798,17804,.70,504500.35,2494246.84,504502.66,2494121.05
114,502769.78,2503838.44,16174,16062,.01,502827.81,2503727.41,502678.16,2503653.41
115,502180.28,2502428.46,15769,15434,.62,502307.61,2501889.54,501782.51,2502450.85
116,506959.34,2491389.77,20318,20349,.32,507213.71,2491459.67,507293.19,2491301.72
117,512487.60,2495427.51,23530,23617,.49,512405.61,2495411.22,512530.23,2495500.49
118,519176.79,2495896.21,25850,25781,.55,519644.59,2495670.41,518844.58,2495551.87
119,491517.77,2487945.92,10058,10036,.86,491711.10,2488037.95,491691.29,2487901.99
120,513601.88,2494945.93,24300,24440,.78,513310.25,2494798.61,513516.23,2494779.17
121,486796.11,2497077.45,6148,5973,.26,487027.56,2496989.27,486716.81,2496701.76
122,493117.43,2491434.93,11442,11478,.95,492981.90,2491255.99,493028.44,2491464.07
123,517036.05,2496487.18,25637,25642,.23,517017.37,2496576.52,517088.93,2496577.85
124,514273.49,2498224.88,24807,24765,.10,514106.75,2498155.85,514055.35,2498328.45
