1076,919089.3296,2717835.247,1059,919014.9579,2718918.651,22,1086.171068,1086.171068,0,TRUE,356.0730165,TRUE,43
1059,919014.9579,2718918.651,1076,919089.3296,2717835.247,22,1086.171068,1086.171068,0,FALSE,176.0730165,TRUE,43
1059,919014.9579,2718918.651,1041,918966.8516,2719221.141,23,308.7874437,308.7874437,0,TRUE,350.9636632,TRUE,46
1041,918966.8516,2719221.141,1059,919014.9579,2718918.651,23,308.7874437,308.7874437,0,FALSE,170.9636632,TRUE,46
1041,918966.8516,2719221.141,1019,918814.0315,2719399.294,24,235.8501347,235.8501347,0,TRUE,319.3769387,TRUE,47
1019,918814.0315,2719399.294,1041,918966.8516,2719221.141,24,235.8501347,235.8501347,0,FALSE,139.3769387,TRUE,47
1019,918814.0315,2719399.294,937,918275.8608,2719864.45,25,711.3524077,711.3524077,0,TRUE,310.8377739,TRUE,50
937,918275.8608,2719864.45,1019,918814.0315,2719399.294,25,711.3524077,711.3524077,0,FALSE,130.8377739,TRUE,50
937,918275.8608,2719864.45,872,917850.6102,2720125.822,26,501.245814,501.245814,0,TRUE,301.5762022,TRUE,51
872,917850.6102,2720125.822,937,918275.8608,2719864.45,26,501.245814,501.245814,0,FALSE,121.5762022,TRUE,51
872,917850.6102,2720125.822,822,917542.5329,2720286.715,27,347.929839,347.929839,0,TRUE,297.5756581,TRUE,54
822,917542.5329,2720286.715,872,917850.6102,2720125.822,27,347.929839,347.929839,0,FALSE,117.5756581,TRUE,54
822,917542.5329,2720286.715,814,917515.6167,2720302.124,28,31.01511881,31.01511881,0,TRUE,299.7912583,TRUE,55
814,917515.6167,2720302.124,822,917542.5329,2720286.715,28,31.01511881,31.01511881,0,FALSE,119.7912583,TRUE,55
814,917515.6167,2720302.124,776,917336.8607,2720412.58,29,210.2267843,210.2267843,0,TRUE,301.7124681,TRUE,58
776,917336.8607,2720412.58,814,917515.6167,2720302.124,29,210.2267843,210.2267843,0,FALSE,121.7124681,TRUE,58
776,917336.8607,2720412.58,733,917048.8708,2720760.621,30,748.5618091,748.5618091,0,TRUE,320.3936141,TRUE,59
733,917048.8708,2720760.621,776,917336.8607,2720412.58,30,748.5618091,748.5618091,0,FALSE,140.3936141,TRUE,59
1996,925536.6658,2721135.297,1744,923880.4182,2719045.491,31,2667.613428,2667.613428,0,TRUE,218.3981116,TRUE,62
1744,923880.4182,2719045.491,1996,925536.6658,2721135.297,31,2667.613428,2667.613428,0,FALSE,38.39811155,TRUE,62
1744,923880.4182,2719045.491,1734,923801.6652,2718890.067,32,174.2373519,174.2373519,0,TRUE,206.8712328,TRUE,63
1734,923801.6652,2718890.067,1744,923880.4182,2719045.491,32,174.2373519,174.2373519,0,FALSE,26.87123283,TRUE,63
1734,923801.6652,2718890.067,1706,923595.4918,2718509.365,33,435.1362619,435.1362619,0,TRUE,208.4382149,TRUE,66
1706,923595.4918,2718509.365,1734,923801.6652,2718890.067,33,435.1362619,435.1362619,0,FALSE,28.43821487,TRUE,66
1706,923595.4918,2718509.365,1662,923363.7342,2718297.587,34,316.1284771,316.1284771,0,TRUE,227.5792144,TRUE,67
